ID,Sand/%,Silt/%,Clay/%
238,27.6,58.6,13.8
239,29.55,50.4,20.05
240,30.35,49.95,19.7
241,30.7,53.4,15.9
242,37.55,38.2,24.25
243,35.4,59.5,5.1
244,35.3,41,23.7
245,41.6,32.5,25.9
246,26.8,62,11.2
247,31.4,59.6,9
248,29.4,51.7,18.9
249,42,39.6,18.4
250,35.3,39,25.7
251,29.8,64.1,6.1
252,43.7,28.8,27.5
253,31.3,54.7,14
254,50.8,28.5,20.7
255,38.7,41.4,19.9
256,26.6,53.1,20.3
257,28.5,49.2,22.3
258,23.5,63.2,13.3
259,40.1,37.9,22
260,44.4,34.4,21.2
261,37.5,48.6,13.9
262,48.1,39.8,12.1
263,22.8,50.1,27.1
264,35.2,45.7,19.1
265,33.5,38.7,27.8
266,19.8,45.4,34.8
267,19.6,55.4,25
268,41.9,44.5,13.6
269,44.4,22.8,32.8
270,33.6,51.5,14.9
271,36.6,42.4,21
272,29.4,23.9,46.7
273,45.1,31.3,23.6
274,36.8,41.6,21.6
275,42.2,36.8,21
276,44,36.5,19.5
277,23.6,37.7,38.7
278,35.7,40.6,23.7
279,59.9,28.4,11.7
280,37,38.9,24.1
281,44.5,40.1,15.4
282,38.2,43.9,17.9
283,55.7,33.1,11.2
284,46.65,38.7,14.65
285,43.5,35.8,20.7
286,37.1,43.7,19.2
287,29.5,51.7,18.8
288,55.8,40.5,3.7
289,45.3,44.7,10
290,36.5,42.5,21
291,45.8,37.4,16.8
292,34.1,51.7,14.2
293,46.6,33.2,20.2
294,45.6,35.6,18.8
295,44.7,37.6,17.7
296,44.2,40.2,15.6
297,33.3,34.5,32.2
298,33.4,39.6,27
299,29.5,48.1,22.4
300,36.2,42,21.8
301,40.9,33.4,25.7
302,43.2,27.1,29.7
303,38.2,36.4,25.4
304,34.2,39.5,26.3
305,43.6,41.2,15.2
306,36.6,55.4,8
307,37.8,39.8,22.4
308,29.8,50.1,20.1
309,43.8,39.2,17
310,57.5,29.7,12.8
311,39.5,42.3,18.2
312,32.8,37.5,29.7
313,38.3,38.7,23
314,42.5,41.8,15.7
315,48.4,25.7,25.9
316,38.5,35.5,26
317,46.2,40.2,13.6
318,32,44.6,23.4
319,37.1,36.2,26.7
320,37.9,53.4,8.7
321,56.5,37.3,6.2
322,40.7,45.4,13.9
323,41.8,28,30.2
324,57.3,29.1,13.6
325,62.7,24.7,12.6
326,43.6,40.6,15.8
327,36.7,53.6,9.7
328,41.6,40.7,17.7
329,37.1,39.9,23
330,42,43.3,14.7
331,51.2,43,5.8
332,46.7,41.1,12.2
333,28.2,35.6,36.2
334,34.4,36.4,29.2
335,41.8,32.2,26
336,34.4,32.8,32.8
337,41.5,45.3,13.2
338,39.6,57,3.4
339,33.5,37.4,29.1
340,44.9,29.8,25.3
341,42.25,38.55,19.2
342,33.7,40,26.3
343,39.8,37.4,22.8
344,36.3,40.1,23.6
345,40.7,47,12.3
346,38.4,46.1,15.5
347,55.8,29.4,14.8
348,40.8,44.6,14.6
349,30.8,63.7,5.5
350,49.7,45.4,4.9
351,53.1,29.1,17.8
352,41.4,42.9,15.7
353,25,44,31
354,29.9,34.6,35.5
355,44.7,37.7,17.6
356,33.1,42.1,24.8
357,53.3,23.2,23.5
358,39.6,56.2,4.2
359,33.9,41.5,24.6
360,37.7,52.9,9.4
361,44,47.5,8.5
362,30,47.8,22.2
363,43.5,44.8,11.7
364,31,50.7,18.3
365,50.3,43.5,6.2
366,32.9,44.4,22.7
